state_id,kind,token_size,kv_size_bytes,consumer_count,producer,token_weighted_state_fanout,static_hotness,dynamic_hotness,dynamic_hot_candidate,lifetime_start,lifetime_end,rank,hotness,cumulative_hotness,cumulative_hotness_fraction
S_task,task,2400,2457600,33,,76800,1720320.0,0.0,False,0,32,1,1720320.0,1720320.0,0.45964203244594704
S_market_context,market_context,2400,2457600,33,,76800,1720320.0,0.0,False,0,32,2,1720320.0,3440640.0,0.9192840648918941
S_risk_policy,risk_policy,2400,2457600,9,,19200,153600.0,0.0,False,0,32,3,153600.0,3594240.0,0.9603235320745679
S_role_instruction,role_instruction,2400,2457600,8,,16800,73920.0,0.0,False,0,7,4,73920.0,3668160.0,0.9800737756562298
S_tool_schema,tool_schema,2400,2457600,8,,16800,67200.0,0.0,False,0,15,5,67200.0,3735360.0,0.9980285425486495
S_trade_3,planner_output,262,268288,2,O_trader_3,262,537.0999999999999,0.0,False,19,32,6,537.0999999999999,3735897.1,0.9981720470917733
S_trade_4,planner_output,250,256000,2,O_trader_4,250,512.5,0.0,False,20,32,7,512.5,3736409.6,0.9983089789077312
S_trade_1,planner_output,249,254976,2,O_trader_1,249,510.44999999999993,0.0,False,17,32,8,510.44999999999993,3736920.0500000003,0.9984453629964252
S_market_signal_5,retrieval,486,497664,2,,486,510.3,0.0,False,0,13,9,510.3,3737430.35,0.9985817070075145
S_trade_0,planner_output,247,252928,2,O_trader_0,247,506.34999999999997,0.0,False,16,32,10,506.34999999999997,3737936.7,0.9987169956416808
S_trade_7,planner_output,245,250880,2,O_trader_7,245,502.24999999999994,0.0,False,23,32,11,502.24999999999994,3738438.95,0.9988511888213195
S_trade_5,planner_output,238,243712,2,O_trader_5,238,487.9,0.0,False,21,32,12,487.9,3738926.85,0.9989815479101113
S_market_signal_0,retrieval,445,455680,2,,445,467.25,0.0,False,0,8,13,467.25,3739394.1,0.9991063896486602
S_market_signal_2,retrieval,438,448512,2,,438,459.90000000000003,0.0,False,0,10,14,459.90000000000003,3739854.0,0.9992292675845801
S_trade_2,planner_output,222,227328,2,O_trader_2,222,455.09999999999997,0.0,False,18,32,15,455.09999999999997,3740309.1,0.9993508630371507
S_market_signal_3,retrieval,426,436224,2,,426,447.3,0.0,False,0,11,16,447.3,3740756.4,0.9994703744542783
S_trade_6,planner_output,213,218112,2,O_trader_6,213,436.65,0.0,False,22,32,17,436.65,3741193.05,0.9995870403614743
S_market_signal_1,retrieval,409,418816,2,,409,429.45000000000005,0.0,False,0,9,18,429.45000000000005,3741622.5,0.9997017825436463
S_market_signal_4,retrieval,390,399360,2,,390,409.5,0.0,False,0,12,19,409.5,3742032.0,0.9998111944043969
S_market_signal_7,retrieval,385,394240,2,,385,404.25,0.0,False,0,15,20,404.25,3742436.25,0.9999192035489841
S_market_signal_6,retrieval,288,294912,2,,288,302.40000000000003,0.0,False,0,14,21,302.40000000000003,3742738.65,1.0
S_risk_1,critic_feedback,315,322560,1,O_risk_1,0,0.0,0.0,False,25,32,22,0.0,3742738.65,1.0
S_risk_6,critic_feedback,289,295936,1,O_risk_6,0,0.0,0.0,False,30,32,23,0.0,3742738.65,1.0
S_research_2_evidence,retrieval_result,286,292864,1,O_researcher_2,0,0.0,0.0,False,10,18,24,0.0,3742738.65,1.0
S_research_4_evidence,retrieval_result,284,290816,1,O_researcher_4,0,0.0,0.0,False,12,20,25,0.0,3742738.65,1.0
S_analyst_3_view,intermediate_summary,283,289792,1,O_analyst_3,0,0.0,0.0,False,3,19,26,0.0,3742738.65,1.0
S_risk_7,critic_feedback,268,274432,1,O_risk_7,0,0.0,0.0,True,31,32,27,0.0,3742738.65,1.0
S_research_7_evidence,retrieval_result,263,269312,1,O_researcher_7,0,0.0,0.0,False,15,23,28,0.0,3742738.65,1.0
S_risk_5,critic_feedback,253,259072,1,O_risk_5,0,0.0,0.0,False,29,32,29,0.0,3742738.65,1.0
S_research_1_evidence,retrieval_result,249,254976,1,O_researcher_1,0,0.0,0.0,False,9,17,30,0.0,3742738.65,1.0
S_analyst_6_view,intermediate_summary,246,251904,1,O_analyst_6,0,0.0,0.0,True,6,22,31,0.0,3742738.65,1.0
S_research_3_evidence,retrieval_result,242,247808,1,O_researcher_3,0,0.0,0.0,False,11,19,32,0.0,3742738.65,1.0
S_research_5_evidence,retrieval_result,240,245760,1,O_researcher_5,0,0.0,0.0,False,13,21,33,0.0,3742738.65,1.0
S_research_6_evidence,retrieval_result,239,244736,1,O_researcher_6,0,0.0,0.0,False,14,22,34,0.0,3742738.65,1.0
S_portfolio_decision,output,231,236544,0,O_manager,0,0.0,0.0,False,32,32,35,0.0,3742738.65,1.0
S_analyst_5_view,intermediate_summary,229,234496,1,O_analyst_5,0,0.0,0.0,True,5,21,36,0.0,3742738.65,1.0
S_analyst_1_view,intermediate_summary,225,230400,1,O_analyst_1,0,0.0,0.0,False,1,17,37,0.0,3742738.65,1.0
S_risk_4,critic_feedback,222,227328,1,O_risk_4,0,0.0,0.0,True,28,32,38,0.0,3742738.65,1.0
S_analyst_4_view,intermediate_summary,220,225280,1,O_analyst_4,0,0.0,0.0,False,4,20,39,0.0,3742738.65,1.0
S_research_0_evidence,retrieval_result,219,224256,1,O_researcher_0,0,0.0,0.0,False,8,16,40,0.0,3742738.65,1.0
S_risk_3,critic_feedback,214,219136,1,O_risk_3,0,0.0,0.0,True,27,32,41,0.0,3742738.65,1.0
S_risk_2,critic_feedback,212,217088,1,O_risk_2,0,0.0,0.0,True,26,32,42,0.0,3742738.65,1.0
S_analyst_7_view,intermediate_summary,211,216064,1,O_analyst_7,0,0.0,0.0,False,7,23,43,0.0,3742738.65,1.0
S_risk_0,critic_feedback,210,215040,1,O_risk_0,0,0.0,0.0,False,24,32,44,0.0,3742738.65,1.0
S_analyst_0_view,intermediate_summary,208,212992,1,O_analyst_0,0,0.0,0.0,False,0,16,45,0.0,3742738.65,1.0
S_analyst_2_view,intermediate_summary,189,193536,1,O_analyst_2,0,0.0,0.0,False,2,18,46,0.0,3742738.65,1.0
