state_id,policy,expected_saved_cost,materialization_cost,storage_cost,movement_cost,contention_cost,reason,baseline,mesh,region_memory_capacity,shared_state_size,branch_width
S_task,inline,616.64,0.8,0.4096,0.8192,1.024,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,1
S_market_context,inline,616.64,0.8,0.4096,0.8192,1.024,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,1
S_risk_policy,inline,82.16,0.32,0.4096,0.8192,0.4096,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,1
S_tool_schema,inline,0.0,0.16,0.4096,0.8192,0.2048,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,1
S_role_instruction,inline,0.0,0.16,0.4096,0.8192,0.2048,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,1
S_market_signal_0,inline,469.03,3.56,4.5568,9.1136,4.5568,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,1
S_analyst_0_view,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,1
S_research_0_evidence,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,1
S_trade_0,inline,507.33799999999997,1.976,2.5292800000000004,5.058560000000001,2.5292800000000004,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,1
S_risk_0,inline,0.0,0.84,2.1504000000000003,4.300800000000001,1.0752000000000002,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,1
S_portfolio_decision,inline,0.0,1.02,2.6112,5.2224,0.0,low fanout or low hotness,request_parallel_gpu_like,8x8,67108864,200,1
S_task,inline,616.64,0.8,0.4096,0.8192,1.024,low fanout or low hotness,helium_like_operator_schedule,8x8,67108864,200,1
S_market_context,inline,616.64,0.8,0.4096,0.8192,1.024,low fanout or low hotness,helium_like_operator_schedule,8x8,67108864,200,1
S_risk_policy,inline,82.16,0.32,0.4096,0.8192,0.4096,low fanout or low hotness,helium_like_operator_schedule,8x8,67108864,200,1
S_tool_schema,inline,0.0,0.16,0.4096,0.8192,0.2048,low fanout or low hotness,helium_like_operator_schedule,8x8,67108864,200,1
S_role_instruction,inline,0.0,0.16,0.4096,0.8192,0.2048,low fanout or low hotness,helium_like_operator_schedule,8x8,67108864,200,1
S_market_signal_0,inline,469.03,3.56,4.5568,9.1136,4.5568,low fanout or low hotness,helium_like_operator_schedule,8x8,67108864,200,1
S_analyst_0_view,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness,helium_like_operator_schedule,8x8,67108864,200,1
S_research_0_evidence,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,helium_like_operator_schedule,8x8,67108864,200,1
S_trade_0,inline,507.33799999999997,1.976,2.5292800000000004,5.058560000000001,2.5292800000000004,low fanout or low hotness,helium_like_operator_schedule,8x8,67108864,200,1
S_risk_0,inline,0.0,0.84,2.1504000000000003,4.300800000000001,1.0752000000000002,low fanout or low hotness,helium_like_operator_schedule,8x8,67108864,200,1
S_portfolio_decision,inline,0.0,1.02,2.6112,5.2224,0.0,low fanout or low hotness,helium_like_operator_schedule,8x8,67108864,200,1
S_task,inline,616.64,0.8,0.4096,0.8192,1.024,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,1
S_market_context,inline,616.64,0.8,0.4096,0.8192,1.024,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,1
S_risk_policy,inline,82.16,0.32,0.4096,0.8192,0.4096,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,1
S_tool_schema,inline,0.0,0.16,0.4096,0.8192,0.2048,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,1
S_role_instruction,inline,0.0,0.16,0.4096,0.8192,0.2048,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,1
S_market_signal_0,inline,469.03,3.56,4.5568,9.1136,4.5568,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,1
S_analyst_0_view,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,1
S_research_0_evidence,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,1
S_trade_0,inline,507.33799999999997,1.976,2.5292800000000004,5.058560000000001,2.5292800000000004,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,1
S_risk_0,inline,0.0,0.84,2.1504000000000003,4.300800000000001,1.0752000000000002,low fanout or low hotness,wafer_request_centric,8x8,67108864,200,1
